"Adresse","Nom","Site web","Tel"
"12, place des clercs 26000 Valence","La Licorne","https://fr-fr.facebook.com/librairie.lalicorne/","0475829117"
"17, avenue Victor-Hugo Centre commercial Victor-Hugo - 26000  Valence

","Fnac","https://www.fnac.com/Valence/Fnac-Valence/cl51/w-4","0825020020"
"31 rue Madier de Montjau
26000 Valence","L'Étincelle","https://librairieletincelle.wordpress.com/","0973137597"
"Place Charles de Gaulle à Chabeuil (Drôme)"," Librairie Ecriture","https://www.librairie-ecriture.fr/","0475592948"
"ZC le Plateau des Couleures
26000 VALENCE
07.57.59.94.95","Cultura","https://www.cultura.com","0986860293"
